"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"GIN"	"   SVM"	"RMSE"	" CYP3A4"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	6.26388824951319e-08	"ranksums"	"<0.05"
"GIN"	" RNN"	"RMSE"	" CYP3A4"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	" CYP3A4"	"random"	3.47852602805345e-05	"ranksums"	"<0.05"
"GIN"	"GIN"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	" CYP3A4"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	" CYP3A4"	"random"	9.44494715123786e-11	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	" CYP3A4"	"random"	0.0810611055553891	"ranksums"	">=0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	6.26388824951319e-08	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	" CYP3A4"	"random"	0.000603610841366096	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	" CYP3A4"	"random"	4.00553278177826e-10	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	" CYP3A4"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	" CYP3A4"	"random"	1.54799264802828e-06	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	" CYP3A4"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	" CYP3A4"	"random"	0.000100947188812739	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"RMSE"	" CYP3A4"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	" CYP3A4"	"random"	0.0428195073176977	"ranksums"	"<0.05"
"GROVER"	"GCN"	"RMSE"	" CYP3A4"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	" CYP3A4"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	" CYP3A4"	"random"	1.54799264802828e-06	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	" CYP3A4"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" MOR"	"random"	1.34761965448825e-09	"ranksums"	"<0.05"
"   RF"	" RNN"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	" MOR"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	" MOR"	"random"	1.58126757191298e-05	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" MOR"	"random"	1.94330131592334e-09	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" MOR"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" MOR"	"random"	0.267502703416054	"ranksums"	">=0.05"
"   SVM"	"GCN"	"RMSE"	" MOR"	"random"	6.7798158073902e-07	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	" MOR"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	" MOR"	"random"	0.0187369441808665	"ranksums"	"<0.05"
"   SVM"	"GROVER"	"RMSE"	" MOR"	"random"	0.0475786020471988	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	" MOR"	"random"	1.34761965448825e-09	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"RMSE"	" MOR"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" MOR"	"random"	6.37303417845131e-11	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" MOR"	"random"	1.33475933195642e-06	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	" MOR"	"random"	0.00140590551147289	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" MOR"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	" MOR"	"random"	3.44536113152082e-06	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" MOR"	"random"	0.267502703416054	"ranksums"	">=0.05"
" RNN"	"   XGBoost"	"RMSE"	" MOR"	"random"	6.37303417845131e-11	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" MOR"	"random"	3.13058210199886e-07	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" MOR"	"random"	0.351636969005001	"ranksums"	">=0.05"
" RNN"	"GROVER"	"RMSE"	" MOR"	"random"	0.169146461558491	"ranksums"	">=0.05"
"GCN"	"   RF"	"RMSE"	" MOR"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	" MOR"	"random"	6.7798158073902e-07	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	" MOR"	"random"	1.33475933195642e-06	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	" MOR"	"random"	3.13058210199886e-07	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" MOR"	"random"	4.3733050624673e-09	"ranksums"	"<0.05"
"GCN"	"  MolBERT"	"RMSE"	" MOR"	"random"	1.15127886155174e-08	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" MOR"	"random"	0.000512111728435535	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	" MOR"	"random"	1.58126757191298e-05	"ranksums"	"<0.05"
"GIN"	"   SVM"	"RMSE"	" MOR"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	" MOR"	"random"	0.00140590551147289	"ranksums"	"<0.05"
"GIN"	" RNN"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	" MOR"	"random"	4.3733050624673e-09	"ranksums"	"<0.05"
"GIN"	"GIN"	"RMSE"	" MOR"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	" MOR"	"random"	3.87871447590138e-11	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	" MOR"	"random"	1.30573056177372e-07	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	" MOR"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	" MOR"	"random"	0.0187369441808665	"ranksums"	"<0.05"
