"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.RMSE"	"std_metric_score.RMSE"	"mean_metric_score.MAE"	"std_metric_score.MAE"	"mean_metric_score.R2"	"std_metric_score.R2"	"mean_metric_score.Pearson_R"	"std_metric_score.Pearson_R"
"Scaffold"	"2. MorganCounts"	"KOR"	"SVM"	2.61278809615977	0.23582576498964	1.94384131680804	0.136987381820022	0.326720321244169	0.147855777644958	0.670629244071815	0.0637995254959858
"Scaffold"	"3. MACCS"	"KOR"	"SVM"	2.65130624415097	0.253882388056076	2.05532860071334	0.174947650043132	0.312123709155122	0.118676855250599	0.583661893705759	0.079768545848593
"Scaffold"	"0. RDKit Descriptors"	"KOR"	"SVM"	2.62147086789803	0.268345004290558	2.03377775381403	0.18886932996858	0.325737495249356	0.129205688964445	0.592714116350221	0.087547373902917
"Scaffold"	"5. PhysChem Descriptors"	"KOR"	"SVM"	4.34764273253844	1.70406103685611	3.52072369834314	1.51841109673259	-1.11084620718464	1.82723913217968	0.349306864227062	0.143115275683052
"Scaffold"	"4. AtomPairs"	"KOR"	"SVM"	3.88915277509681	0.65443063021288	2.59533841640795	0.245607797988984	-0.511851408386786	0.521888362691661	0.483917416983634	0.103448336236474
"Scaffold"	"1. MorganBits"	"KOR"	"XGBoost"	2.21330267511263	0.193448953163941	1.72096534534503	0.139994737682161	0.521179303897198	0.0752561817714864	0.732555172916342	0.0519904394976659
"Scaffold"	"2. MorganCounts"	"KOR"	"XGBoost"	2.22068490756287	0.216286986623377	1.72464695636308	0.153188524007777	0.517525738564134	0.0837316091839195	0.729947860314361	0.0577103521599654
"Scaffold"	"3. MACCS"	"KOR"	"XGBoost"	2.4488326466481	0.238998266096245	1.89754039041037	0.168527550826871	0.414173837391405	0.095816085209018	0.654085765694798	0.0735516411256566
"Scaffold"	"0. RDKit Descriptors"	"KOR"	"XGBoost"	2.30669806437954	0.236661580497497	1.78227679120074	0.164549930420527	0.477383535039124	0.10602358746727	0.69835416870917	0.0751062929276091
"Scaffold"	"5. PhysChem Descriptors"	"KOR"	"XGBoost"	2.67173004439906	0.185370270214675	2.11728643337474	0.146343711769024	0.301541308365034	0.107275526210194	0.559608572046713	0.102834988947034
"Scaffold"	"4. AtomPairs"	"KOR"	"XGBoost"	2.17348705497059	0.190019510357313	1.6744108310143	0.140232124500133	0.537179666736652	0.0806526666457448	0.742257192862826	0.055220020178578
"Random"	"1. MorganBits"	"  MDR1"	"RF"	1.45398805657816	0.189874511803638	0.95239487922611	0.0884200321747909	0.825425465050124	0.0534285032964432	0.91252261933225	0.0255708729461053
"Random"	"2. MorganCounts"	"  MDR1"	"RF"	1.41479880252536	0.18436054355615	0.915974258677195	0.0731549557856658	0.83533444032154	0.047496692988449	0.917469181453802	0.0237819824653762
"Random"	"3. MACCS"	"  MDR1"	"RF"	1.55463661460094	0.15233100025168	1.06324366820125	0.0727139963976674	0.80229458747102	0.0482467666940384	0.899454863725372	0.0233094580547301
"Random"	"0. RDKit Descriptors"	"  MDR1"	"RF"	1.4503399495493	0.112311932588935	0.964197643828028	0.0635183415370188	0.828766920579061	0.0361505794560973	0.914337747342106	0.0200142411365683
