"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
2	" BACE"	"Scaffold"	" Training vs Validation"	0.756766623811217
3	" BACE"	"Scaffold"	" Training vs Validation"	0.721695766741077
4	" BACE"	"Scaffold"	" Training vs Validation"	0.719245851434619
5	" BACE"	"Scaffold"	" Training vs Validation"	0.717149374303439
6	" BACE"	"Scaffold"	" Training vs Validation"	0.741740753516456
7	" BACE"	"Scaffold"	" Training vs Validation"	0.721465799587452
8	" BACE"	"Scaffold"	" Training vs Validation"	0.707833225166561
9	" BACE"	"Scaffold"	" Training vs Validation"	0.697085830549531
10	" BACE"	"Scaffold"	" Training vs Validation"	0.729619080459835
11	" BACE"	"Scaffold"	" Training vs Validation"	0.740967640320197
12	" BACE"	"Scaffold"	" Training vs Validation"	0.709638752684688
13	" BACE"	"Scaffold"	" Training vs Validation"	0.713495293397777
14	" BACE"	"Scaffold"	" Training vs Validation"	0.704159637752748
15	" BACE"	"Scaffold"	" Training vs Validation"	0.722227436422512
16	" BACE"	"Scaffold"	" Training vs Validation"	0.708921295128121
17	" BACE"	"Scaffold"	" Training vs Validation"	0.713686636050805
18	" BACE"	"Scaffold"	" Training vs Validation"	0.704604662708099
19	" BACE"	"Scaffold"	" Training vs Validation"	0.732987458342748
20	" BACE"	"Scaffold"	" Training vs Validation"	0.746494979455771
21	" BACE"	"Scaffold"	" Training vs Validation"	0.71777014878412
22	" BACE"	"Scaffold"	" Training vs Validation"	0.722752320253296
23	" BACE"	"Scaffold"	" Training vs Validation"	0.727370556419259
24	" BACE"	"Scaffold"	" Training vs Validation"	0.75593318252374
25	" BACE"	"Scaffold"	" Training vs Validation"	0.712652959867029
26	" BACE"	"Scaffold"	" Training vs Validation"	0.720807369872434
27	" BACE"	"Scaffold"	" Training vs Validation"	0.711258298908638
28	" BACE"	"Scaffold"	" Training vs Validation"	0.726773242879388
29	" BACE"	"Scaffold"	" Training vs Validation"	0.720458077279148
0	" BBBP"	"Scaffold"	" Training vs Validation"	0.467131203765352
1	" BBBP"	"Scaffold"	" Training vs Validation"	0.505419900191241
2	" BBBP"	"Scaffold"	" Training vs Validation"	0.479672029981472
