"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	0.744986300175643	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	0.00155687902927202	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	0.0712783650668012	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	3.49592620314054e-08	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	0.00268883998175647	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	0.00155687902927202	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	0.143287384744123	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	5.1013909260081e-05	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	0.000194793094752191	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	0.100782631798322	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	0.0712783650668012	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	0.143287384744123	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	2.07683271752998e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	0.0265777633650162	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	4.8848156981151e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	3.49592620314054e-08	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	5.1013909260081e-05	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	2.07683271752998e-06	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	4.78066042920329e-09	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"RMSE"	"B-raf"	" Scaffold"	0.646724577343484	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"RMSE"	"B-raf"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"RMSE"	"B-raf"	" Scaffold"	0.000194793094752191	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"RMSE"	"B-raf"	" Scaffold"	0.0265777633650162	"ranksums"	"<0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"RMSE"	"B-raf"	" Scaffold"	4.78066042920329e-09	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"RMSE"	"B-raf"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"COX-1"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"COX-1"	" Scaffold"	0.700685660700552	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"COX-1"	" Scaffold"	0.442017913975686	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.636140685770246	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.0297569530004727	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"COX-1"	" Scaffold"	0.689760957275894	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"COX-1"	" Scaffold"	0.700685660700552	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"COX-1"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"COX-1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.416135847078279	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.0109930026457564	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"COX-1"	" Scaffold"	0.976410907876082	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"COX-1"	" Scaffold"	0.442017913975686	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"COX-1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"COX-1"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.801554937881844	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"COX-1"	" Scaffold"	0.0492606674136038	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"COX-1"	" Scaffold"	0.242819024256211	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"COX-1"	" Scaffold"	0.636140685770246	"ranksums"	">=0.05"
